time,c1,q1,axis1_deg,c2,q2,axis2_deg
6660,3760.0,0.949999988079071,80.0,-3510.0,0.8999999761581421,100.0
6680,3780.0,0.949999988079071,60.0,-3610.0,0.8999999761581421,80.0
6700,3740.0,0.8500000238418579,40.0,-3610.0,0.949999988079071,80.0
6720,3760.0,0.949999988079071,60.0,-3590.0,0.949999988079071,100.0
6740,3710.0,0.949999988079071,20.0,-3700.0,0.949999988079071,120.0
6760,3760.0,0.949999988079071,60.0,-3540.0,0.949999988079071,120.0
6780,3830.0,0.949999988079071,60.0,-3580.0,0.8999999761581421,20.0
6800,3810.0,0.8999999761581421,40.0,-3600.0,0.949999988079071,20.0
6820,3720.0,0.8999999761581421,60.0,-3510.0,0.949999988079071,100.0
6840,3710.0,0.8999999761581421,60.0,-3560.0,0.949999988079071,120.0
6860,3760.0,0.949999988079071,80.0,-3700.0,0.949999988079071,140.0
6880,3770.0,1.0,0.0,-3600.0,0.8999999761581421,120.0
6900,3780.0,0.949999988079071,80.0,-3600.0,0.949999988079071,120.0
6920,3890.0,0.8500000238418579,20.0,-3500.0,0.949999988079071,100.0
6940,3800.0,0.949999988079071,20.0,-3570.0,0.949999988079071,140.0
6960,3760.0,0.8500000238418579,40.0,-3580.0,0.949999988079071,80.0
6980,3700.0,0.8999999761581421,60.0,-3500.0,0.949999988079071,120.0
7000,3720.0,0.8999999761581421,60.0,-3630.0,0.949999988079071,0.0
7020,3770.0,0.949999988079071,60.0,-3470.0,0.8999999761581421,100.0
7040,3710.0,0.949999988079071,40.0,-3420.0,0.949999988079071,120.0
7060,3700.0,0.949999988079071,80.0,-3530.0,0.949999988079071,140.0
7080,3720.0,0.949999988079071,100.0,-3480.0,0.800000011920929,120.0
7100,3850.0,0.949999988079071,100.0,-3470.0,0.949999988079071,120.0
7120,3680.0,1.0,0.0,-3460.0,0.8500000238418579,80.0
7140,3760.0,0.8500000238418579,40.0,-3480.0,0.8999999761581421,120.0
7160,3840.0,0.949999988079071,40.0,-3600.0,0.949999988079071,120.0
7180,3810.0,0.8999999761581421,40.0,-3610.0,1.0,0.0
7200,3740.0,0.8999999761581421,60.0,-3560.0,0.949999988079071,160.0
7220,3770.0,0.949999988079071,0.0,-3540.0,0.8999999761581421,120.0
7240,3780.0,0.949999988079071,60.0,-3520.0,0.8500000238418579,140.0
7260,3800.0,0.949999988079071,40.0,-3460.0,0.949999988079071,120.0
7280,3780.0,0.949999988079071,40.0,-3500.0,1.0,0.0
7300,3860.0,1.0,140.0,-3620.0,0.8999999761581421,120.0
7320,3770.0,0.949999988079071,40.0,-3490.0,0.949999988079071,120.0
7340,3700.0,0.8500000238418579,40.0,-3630.0,0.949999988079071,80.0
7360,3710.0,0.8999999761581421,60.0,-3630.0,0.949999988079071,120.0
7380,3730.0,0.8999999761581421,60.0,-3510.0,0.949999988079071,80.0
7400,3790.0,0.8999999761581421,40.0,-3530.0,0.949999988079071,60.0
7420,3790.0,0.949999988079071,60.0,-3490.0,0.949999988079071,120.0
7440,3760.0,0.949999988079071,40.0,-3480.0,0.8999999761581421,100.0
7460,3730.0,0.8999999761581421,60.0,-3440.0,0.949999988079071,120.0
7480,3850.0,0.8999999761581421,20.0,-3510.0,0.949999988079071,120.0
7500,3780.0,1.0,0.0,-3580.0,1.0,0.0
7520,3820.0,0.8999999761581421,20.0,-3530.0,0.949999988079071,100.0
7540,3730.0,0.949999988079071,40.0,-3450.0,0.8999999761581421,120.0
7560,3750.0,0.949999988079071,0.0,-3520.0,0.949999988079071,120.0
7580,3670.0,0.8999999761581421,60.0,-3530.0,0.949999988079071,120.0
7600,3820.0,0.949999988079071,100.0,-3510.0,0.8999999761581421,160.0
7620,3780.0,0.8999999761581421,60.0,-3490.0,0.8999999761581421,120.0
7640,3810.0,0.949999988079071,40.0,-3500.0,0.8999999761581421,80.0
7660,3820.0,0.8999999761581421,100.0,-3580.0,0.8999999761581421,100.0
7680,3750.0,0.949999988079071,120.0,-3480.0,0.8999999761581421,100.0
7700,3720.0,0.949999988079071,60.0,-3600.0,0.949999988079071,100.0
7720,3690.0,0.949999988079071,80.0,-3550.0,0.949999988079071,120.0
7740,3680.0,0.8999999761581421,60.0,-3580.0,0.8999999761581421,100.0
7760,3610.0,0.8500000238418579,60.0,-3580.0,1.0,0.0
7780,3670.0,0.8999999761581421,40.0,-3580.0,0.949999988079071,100.0
7800,3730.0,0.8999999761581421,60.0,-3600.0,0.949999988079071,80.0
7820,3740.0,0.8999999761581421,40.0,-3560.0,0.949999988079071,120.0
7840,3750.0,0.8999999761581421,60.0,-3510.0,0.8500000238418579,160.0
7860,3660.0,0.949999988079071,20.0,-3570.0,0.8999999761581421,120.0
7880,3700.0,0.949999988079071,60.0,-3590.0,1.0,0.0
7900,3650.0,0.8999999761581421,60.0,-3620.0,0.949999988079071,160.0
7920,3680.0,0.949999988079071,80.0,-3550.0,0.949999988079071,120.0
7940,3680.0,0.8500000238418579,40.0,-3560.0,0.8999999761581421,120.0
7960,3730.0,1.0,0.0,-3560.0,0.8999999761581421,100.0
7980,3790.0,0.949999988079071,60.0,-3500.0,0.949999988079071,120.0
8000,3810.0,0.949999988079071,60.0,-3620.0,0.949999988079071,100.0
8020,3800.0,0.949999988079071,80.0,-3540.0,0.949999988079071,20.0
8040,3790.0,0.949999988079071,60.0,-3540.0,0.949999988079071,120.0
8060,3790.0,0.949999988079071,80.0,-3540.0,0.949999988079071,100.0
8080,3740.0,0.8999999761581421,60.0,-3520.0,0.8999999761581421,100.0
8100,3750.0,0.8999999761581421,40.0,-3520.0,0.8999999761581421,60.0
8120,3850.0,0.949999988079071,40.0,-3560.0,0.949999988079071,120.0
8140,3870.0,0.8999999761581421,60.0,-3580.0,0.949999988079071,100.0
8160,3850.0,0.949999988079071,40.0,-3610.0,0.949999988079071,140.0
8180,3790.0,0.949999988079071,80.0,-3610.0,0.949999988079071,120.0
8200,3720.0,0.8999999761581421,120.0,-3520.0,0.949999988079071,100.0
8220,3800.0,0.949999988079071,60.0,-3590.0,1.0,0.0
8240,3780.0,0.949999988079071,60.0,-3620.0,1.0,0.0
8260,3730.0,0.8999999761581421,60.0,-3540.0,0.949999988079071,80.0
8280,3700.0,0.8999999761581421,60.0,-3470.0,0.8999999761581421,100.0
8300,3830.0,0.949999988079071,40.0,-3490.0,0.8999999761581421,100.0
8320,3840.0,0.949999988079071,60.0,-3530.0,0.8999999761581421,100.0
8340,3780.0,0.8999999761581421,80.0,-3530.0,0.949999988079071,100.0
8360,3900.0,0.949999988079071,60.0,-3510.0,1.0,0.0
8380,3880.0,0.949999988079071,60.0,-3590.0,0.8999999761581421,100.0
8400,3750.0,0.949999988079071,80.0,-3620.0,0.949999988079071,100.0
8420,3760.0,0.949999988079071,60.0,-3620.0,0.949999988079071,120.0
8440,3850.0,0.8999999761581421,60.0,-3520.0,0.949999988079071,100.0
8460,3890.0,0.949999988079071,60.0,-3540.0,0.8999999761581421,100.0
8480,3900.0,0.949999988079071,60.0,-3550.0,0.8999999761581421,120.0
8500,3860.0,0.949999988079071,60.0,-3640.0,0.949999988079071,100.0
8520,3790.0,0.8999999761581421,60.0,-3520.0,0.8999999761581421,100.0
8540,3830.0,0.949999988079071,160.0,-3590.0,0.949999988079071,100.0
8560,3770.0,0.8999999761581421,60.0,-3520.0,0.949999988079071,100.0
8580,3760.0,0.8999999761581421,20.0,-3520.0,0.949999988079071,100.0
8600,3760.0,0.949999988079071,60.0,-3570.0,0.949999988079071,100.0
8620,3670.0,0.8500000238418579,40.0,-3620.0,0.949999988079071,60.0
8640,3710.0,0.8500000238418579,60.0,-3500.0,0.949999988079071,100.0
8660,3830.0,0.949999988079071,20.0,-3640.0,0.949999988079071,80.0
8680,3810.0,0.8999999761581421,60.0,-3580.0,0.8999999761581421,100.0
8700,3820.0,0.949999988079071,60.0,-3560.0,0.949999988079071,100.0
8720,3780.0,0.949999988079071,60.0,-3620.0,0.949999988079071,140.0
8740,3820.0,0.949999988079071,140.0,-3600.0,0.949999988079071,160.0
8760,3920.0,0.949999988079071,60.0,-3590.0,1.0,0.0
8780,3850.0,0.949999988079071,60.0,-3610.0,0.949999988079071,140.0
8800,3840.0,1.0,0.0,-3590.0,0.949999988079071,140.0
8820,3780.0,0.949999988079071,0.0,-3570.0,0.949999988079071,140.0
8840,3850.0,0.8999999761581421,60.0,-3490.0,0.949999988079071,100.0
8860,3870.0,0.8999999761581421,60.0,-3620.0,0.949999988079071,80.0
8880,3850.0,0.8500000238418579,40.0,-3690.0,1.0,0.0
8900,3790.0,0.949999988079071,60.0,-3600.0,0.949999988079071,80.0
8920,3860.0,0.949999988079071,0.0,-3620.0,0.949999988079071,140.0
8940,3870.0,0.949999988079071,60.0,-3690.0,0.8999999761581421,120.0
8960,3760.0,0.8999999761581421,60.0,-3610.0,0.8999999761581421,100.0
8980,3800.0,0.8999999761581421,60.0,-3650.0,1.0,0.0
9000,3890.0,0.8999999761581421,40.0,-3640.0,0.949999988079071,80.0
9020,3820.0,0.949999988079071,60.0,-3560.0,0.949999988079071,80.0
9040,3860.0,0.949999988079071,80.0,-3640.0,0.949999988079071,80.0
9060,3830.0,0.8999999761581421,60.0,-3600.0,0.949999988079071,120.0
9080,3870.0,0.8999999761581421,40.0,-3600.0,0.949999988079071,140.0
9100,3810.0,0.800000011920929,0.0,-3720.0,0.949999988079071,120.0
9120,3880.0,0.949999988079071,60.0,-3570.0,1.0,0.0
9140,3800.0,0.949999988079071,60.0,-3690.0,0.949999988079071,40.0
9160,3830.0,0.949999988079071,60.0,-3640.0,1.0,0.0
9180,3890.0,1.0,120.0,-3610.0,0.949999988079071,80.0
9200,3950.0,0.8999999761581421,60.0,-3640.0,0.949999988079071,60.0
