time,c1,q1,axis1_deg,c2,q2,axis2_deg,c3,q3,axis3_deg,c4,q4,axis4_deg
2460,17570.0,1.0,0.0,-16730.0,1.0,0.0,-16400.0,1.0,0.0,17300.0,1.0,0.0
2480,17550.0,1.0,0.0,-16690.0,1.0,0.0,-16330.0,1.0,0.0,17250.0,1.0,0.0
2500,17570.0,1.0,0.0,-16680.0,1.0,0.0,-16220.0,1.0,0.0,17420.0,1.0,0.0
2520,17650.0,1.0,0.0,-16790.0,1.0,0.0,-16300.0,1.0,0.0,17540.0,1.0,0.0
2540,17660.0,1.0,0.0,-16850.0,1.0,0.0,-16100.0,1.0,0.0,17350.0,1.0,0.0
2560,17480.0,1.0,0.0,-16740.0,1.0,0.0,-16110.0,1.0,0.0,17290.0,1.0,0.0
2580,17530.0,1.0,0.0,-16630.0,1.0,0.0,-16160.0,1.0,0.0,17330.0,1.0,0.0
2600,17590.0,1.0,0.0,-16570.0,1.0,0.0,-16040.0,1.0,0.0,17250.0,1.0,0.0
2620,17480.0,1.0,0.0,-16590.0,1.0,0.0,-16280.0,1.0,0.0,17070.0,1.0,0.0
2640,17530.0,1.0,0.0,-16680.0,1.0,0.0,-16310.0,1.0,0.0,17040.0,1.0,0.0
2660,17470.0,1.0,0.0,-16600.0,1.0,0.0,-16310.0,1.0,0.0,17130.0,1.0,0.0
2680,17460.0,1.0,0.0,-16790.0,1.0,0.0,-16240.0,1.0,0.0,17200.0,1.0,0.0
2700,17480.0,1.0,0.0,-16970.0,1.0,0.0,-16270.0,1.0,0.0,17110.0,1.0,0.0
2720,17590.0,1.0,0.0,-16840.0,1.0,0.0,-16130.0,1.0,0.0,17250.0,1.0,0.0
2740,17540.0,1.0,0.0,-16950.0,1.0,0.0,-16410.0,1.0,0.0,17440.0,1.0,0.0
2760,17380.0,1.0,0.0,-16940.0,1.0,0.0,-16280.0,1.0,0.0,17220.0,1.0,0.0
2780,17370.0,1.0,0.0,-17010.0,1.0,0.0,-16270.0,1.0,0.0,17300.0,1.0,0.0
2800,17330.0,1.0,0.0,-16920.0,1.0,0.0,-16280.0,1.0,0.0,17320.0,1.0,0.0
2820,17460.0,1.0,0.0,-17000.0,1.0,0.0,-16280.0,1.0,0.0,17190.0,1.0,0.0
2840,17420.0,1.0,0.0,-16920.0,1.0,0.0,-16430.0,1.0,0.0,17420.0,1.0,0.0
2860,17500.0,1.0,0.0,-16880.0,1.0,0.0,-16370.0,1.0,0.0,17170.0,1.0,0.0
2880,17430.0,1.0,0.0,-16950.0,1.0,0.0,-16250.0,1.0,0.0,17230.0,1.0,0.0
2900,17490.0,1.0,0.0,-16890.0,1.0,0.0,-16510.0,1.0,0.0,17080.0,1.0,0.0
2920,17470.0,1.0,0.0,-16850.0,1.0,0.0,-16420.0,1.0,0.0,17010.0,1.0,0.0
2940,17480.0,1.0,0.0,-16850.0,1.0,0.0,-16510.0,1.0,0.0,17260.0,1.0,0.0
2960,17470.0,1.0,0.0,-17110.0,1.0,0.0,-16390.0,1.0,0.0,17310.0,1.0,0.0
2980,17330.0,1.0,0.0,-17190.0,1.0,0.0,-16410.0,1.0,0.0,17190.0,1.0,0.0
3000,17210.0,1.0,0.0,-17080.0,1.0,0.0,-16520.0,1.0,0.0,17210.0,1.0,0.0
3020,17240.0,1.0,0.0,-17040.0,1.0,0.0,-16290.0,1.0,0.0,16990.0,1.0,0.0
3040,17330.0,1.0,0.0,-16860.0,1.0,0.0,-16560.0,1.0,0.0,16830.0,1.0,0.0
3060,17460.0,1.0,0.0,-16820.0,1.0,0.0,-16550.0,1.0,0.0,16910.0,1.0,0.0
3080,17280.0,1.0,0.0,-16760.0,1.0,0.0,-16330.0,1.0,0.0,16820.0,1.0,0.0
3100,16920.0,1.0,0.0,-16620.0,1.0,0.0,-16090.0,1.0,0.0,16720.0,1.0,0.0
3120,16680.0,1.0,0.0,-16430.0,1.0,0.0,-15670.0,1.0,0.0,16350.0,1.0,0.0
3140,16250.0,1.0,0.0,-16090.0,1.0,0.0,-15280.0,1.0,0.0,16020.0,1.0,0.0
3160,16080.0,1.0,0.0,-15630.0,1.0,0.0,-15100.0,1.0,0.0,15750.0,1.0,0.0
3180,15800.0,1.0,0.0,-15620.0,1.0,0.0,-14920.0,1.0,0.0,15540.0,1.0,0.0
3200,15620.0,1.0,0.0,-15290.0,1.0,0.0,-14990.0,1.0,0.0,15210.0,1.0,0.0
3220,15330.0,1.0,0.0,-15060.0,1.0,0.0,-14840.0,1.0,0.0,15260.0,1.0,0.0
3240,15370.0,1.0,0.0,-14980.0,1.0,0.0,-14740.0,1.0,0.0,15230.0,1.0,0.0
3260,15260.0,1.0,0.0,-14920.0,1.0,0.0,-14630.0,1.0,0.0,15360.0,1.0,0.0
3280,15100.0,1.0,0.0,-15180.0,1.0,0.0,-14870.0,1.0,0.0,15300.0,1.0,0.0
3300,15270.0,1.0,0.0,-15310.0,1.0,0.0,-15070.0,1.0,0.0,15210.0,1.0,0.0
3320,15370.0,1.0,0.0,-15530.0,1.0,0.0,-14980.0,1.0,0.0,15370.0,1.0,0.0
3340,15470.0,1.0,0.0,-15590.0,1.0,0.0,-15080.0,1.0,0.0,15480.0,1.0,0.0
3360,15550.0,1.0,0.0,-15480.0,1.0,0.0,-14990.0,1.0,0.0,15140.0,1.0,0.0
3380,15900.0,1.0,0.0,-15520.0,1.0,0.0,-15210.0,1.0,0.0,15270.0,1.0,0.0
3400,15930.0,1.0,0.0,-15550.0,1.0,0.0,-15200.0,1.0,0.0,14930.0,1.0,0.0
3420,15960.0,1.0,0.0,-15490.0,1.0,0.0,-15210.0,1.0,0.0,15190.0,1.0,0.0
3440,15820.0,1.0,0.0,-15560.0,1.0,0.0,-14990.0,1.0,0.0,15320.0,1.0,0.0
3460,15920.0,1.0,0.0,-15650.0,1.0,0.0,-15010.0,1.0,0.0,15560.0,1.0,0.0
3480,16010.0,1.0,0.0,-15570.0,1.0,0.0,-15030.0,1.0,0.0,15550.0,1.0,0.0
3500,16230.0,1.0,0.0,-15430.0,1.0,0.0,-15150.0,1.0,0.0,15620.0,1.0,0.0
3520,16280.0,1.0,0.0,-15560.0,1.0,0.0,-15230.0,1.0,0.0,15790.0,1.0,0.0
3540,16260.0,1.0,0.0,-15540.0,1.0,0.0,-15380.0,1.0,0.0,15760.0,1.0,0.0
3560,16460.0,1.0,0.0,-15820.0,1.0,0.0,-15400.0,1.0,0.0,15970.0,1.0,0.0
3580,16760.0,1.0,0.0,-15840.0,1.0,0.0,-15570.0,1.0,0.0,15910.0,1.0,0.0
3600,16570.0,1.0,0.0,-16070.0,1.0,0.0,-15350.0,1.0,0.0,16110.0,1.0,0.0
3620,16600.0,1.0,0.0,-16110.0,1.0,0.0,-15220.0,1.0,0.0,16450.0,1.0,0.0
