time,c1,q1,axis1_deg
6560,1940.0,1.0,0.0
6580,1950.0,1.0,0.0
6600,1880.0,1.0,0.0
6620,1980.0,1.0,0.0
6640,1930.0,1.0,0.0
6660,1950.0,1.0,0.0
6680,1930.0,1.0,0.0
6700,1890.0,1.0,0.0
6720,1880.0,1.0,0.0
6740,1980.0,1.0,0.0
6760,1910.0,1.0,0.0
6780,1940.0,1.0,0.0
6800,2000.0,1.0,0.0
6820,1880.0,1.0,0.0
6840,1960.0,1.0,0.0
6860,1880.0,1.0,0.0
6880,1960.0,1.0,0.0
6900,1910.0,1.0,0.0
6920,1890.0,1.0,0.0
6940,1880.0,1.0,0.0
6960,1920.0,1.0,0.0
6980,1900.0,1.0,0.0
7000,1940.0,1.0,0.0
7020,1900.0,1.0,0.0
7120,1950.0,1.0,0.0
7140,1930.0,1.0,0.0
7160,1910.0,1.0,0.0
7180,1900.0,1.0,0.0
7200,1950.0,1.0,0.0
7220,1920.0,1.0,0.0
7240,1920.0,1.0,0.0
7260,1960.0,1.0,0.0
7280,1930.0,1.0,0.0
7300,1870.0,1.0,0.0
7320,1900.0,1.0,0.0
7340,1910.0,1.0,0.0
7360,1910.0,1.0,0.0
7380,1970.0,1.0,0.0
7400,1940.0,1.0,0.0
7420,1980.0,1.0,0.0
7440,1920.0,1.0,0.0
7460,1870.0,1.0,0.0
7480,1930.0,1.0,0.0
7500,1950.0,1.0,0.0
7520,1950.0,1.0,0.0
7540,1920.0,1.0,0.0
7560,1960.0,1.0,0.0
7580,1910.0,1.0,0.0
7600,1910.0,1.0,0.0
7620,1900.0,1.0,0.0
7640,1900.0,1.0,0.0
7660,1950.0,1.0,0.0
7680,1890.0,1.0,0.0
7700,1940.0,1.0,0.0
7720,1960.0,1.0,0.0
7740,1940.0,1.0,0.0
7760,1910.0,1.0,0.0
7780,1920.0,1.0,0.0
7800,1890.0,1.0,0.0
7820,1960.0,1.0,0.0
7840,1970.0,1.0,0.0
7860,1940.0,1.0,0.0
7880,1870.0,1.0,0.0
7900,1930.0,1.0,0.0
7920,1930.0,1.0,0.0
7940,1890.0,1.0,0.0
7960,1970.0,1.0,0.0
7980,1900.0,1.0,0.0
8000,1910.0,1.0,0.0
8020,1970.0,1.0,0.0
8040,1970.0,1.0,0.0
8060,1930.0,1.0,0.0
8080,1920.0,1.0,0.0
8100,1930.0,1.0,0.0
8120,1960.0,1.0,0.0
8140,1930.0,1.0,0.0
8160,1960.0,1.0,0.0
